Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
4.68,96.89,NOAA19,8:15:26 AM,20160925,ASMC,ACEH,BENER MERIAH,BANDAR,LEWAJADI,
1.131,99.694,NOAA19,8:15:26 AM,20160925,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,TAPIAN NAULI,
-0.555,116.09,NOAA19,6:39:22 AM,20161030,ASMC,KALIMANTAN TIMUR,KUTAI BARAT,JEMPANG,MANCONG,
1.445,99.815,NOAA19,8:18:34 AM,20161030,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,SIBATU LOTING,
-2.585,121.365,NOAA19,6:30:09 AM,20161031,ASMC,SULAWESI SELATAN,LUWU TIMUR,TOWUTI,ASULI,
-4.57,121.96,NOAA19,6:26:51 AM,20160926,ASMC,SULAWESI TENGGARA,BOMBANA,RAROWATU,WUMBU BANGKA,TN RAWA AOPA WATUMOHAI
-4.5,121.98,NOAA19,6:26:51 AM,20160926,ASMC,SULAWESI TENGGARA,BOMBANA,RAROWATU,WUMBU BANGKA,TN RAWA AOPA WATUMOHAI
2.27,98.97,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,TAPANULI UTARA,MUARA,SILANDO,
2.3,98.74,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,HUMBANG HASUNDUTAN,POLLUNG,POLLUNG,
3.87,96.625,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,ACEH BARAT DAYA,BABAH ROT,IE MERAH,
3.98,97.19,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,GAYOLUES,KUTA PANJANG,PEPARIK,
4.04,97.47,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,GAYOLUES,PINDING,URING,
-3.655,104.125,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA SELATAN,MUARAENIM,RAMBANG,TANJUNG RAYA,
-3.05,103.915,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,PENUKAL UTARA,DANAU CALA,
-0.8,101.41,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA BARAT,SIJUNJUNG,KAMANG BARU,SUNGAI TANANG,
0.59,99.935,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,MANDAILINGNATAL,MUARA SIPONGI,RANJO BATU,
0.64,102.59,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,SIAK,KECAMATAN SUNGAI APIT,BELADING,
0.885,100.075,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSA,TANJUNG BOTUNG,
1.04,100.04,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSA,MANANTI SOSA JAE,
1.08,99.905,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSA,RAMBA,
1.13,99.688,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,TAPIAN NAULI,
1.24,99.66,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSOPAN,HUTA BARGOT,
1.26,99.685,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSOPAN,PAGARAN BIRA JAE,
1.27,99.47,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS UTARA,BATANG ONANG,JANJI MAULI,
